Level1,Level2,Level3,Employment,Mean_Hourly_Wage,Mean_Annual_Wage,Hourly_Wage
Business and financial operations occupations,Business operations specialists....................................................,"Claims adjusters, appraisers, examiners, and investigators........................","312,810",37.85,"78,720",36.92
Business and financial operations occupations,Business operations specialists....................................................,"Claims adjusters, examiners, and investigators...................................","305,020",37.87,"78,770",36.92
Business and financial operations occupations,Business operations specialists....................................................,"Insurance appraisers, auto damage................................................","7,790",37.04,"77,050",36.85
Business and financial operations occupations,Business operations specialists....................................................,Compliance officers...............................................................,"397,770",40.86,"84,980",37.70
Business and financial operations occupations,Business operations specialists....................................................,Cost estimators...................................................................,"219,530",39.98,"83,160",37.05
Business and financial operations occupations,Business operations specialists....................................................,Human resources workers...........................................................,"982,460",38.88,"80,860",35.68
Business and financial operations occupations,Business operations specialists....................................................,Human resources specialists......................................................,"917,460",38.33,"79,730",35.05
Business and financial operations occupations,Business operations specialists....................................................,Farm labor contractors...........................................................,410,24.96,"51,910",23.41
Business and financial operations occupations,Business operations specialists....................................................,Labor relations specialists......................................................,"64,590",46.70,"97,130",44.95
Business and financial operations occupations,Business operations specialists....................................................,Logisticians and project management specialists...................................,"1,241,800",50.10,"104,210",47.15
Business and financial operations occupations,Business operations specialists....................................................,Logisticians.....................................................................,"235,640",42.12,"87,600",38.89
Business and financial operations occupations,Business operations specialists....................................................,Project management specialists...................................................,"1,006,160",51.97,"108,100",48.44
Business and financial operations occupations,Business operations specialists....................................................,Management analysts...............................................................,"893,900",55.15,"114,710",48.65
Business and financial operations occupations,Business operations specialists....................................................,"Meeting, convention, and event planners...........................................","134,670",31.29,"65,090",28.58
Business and financial operations occupations,Business operations specialists....................................................,Fundraisers.......................................................................,"105,930",35.16,"73,130",31.97
Business and financial operations occupations,Business operations specialists....................................................,"Compensation, benefits, and job analysis specialists..............................","102,370",39.86,"82,920",37.03
Business and financial operations occupations,Business operations specialists....................................................,Training and development specialists..............................................,"436,610",35.46,"73,760",31.66
Business and financial operations occupations,Business operations specialists....................................................,Market research analysts and marketing specialists................................,"861,140",41.58,"86,480",37.00
Business and financial operations occupations,Business operations specialists....................................................,"Business operations specialists, all other........................................","1,128,200",44.41,"92,380",39.07
Business and financial operations occupations,Financial specialists..............................................................,,"3,033,120",48.12,"100,090",39.49
Business and financial operations occupations,Financial specialists..............................................................,Accountants and auditors..........................................................,"1,448,290",44.96,"93,520",39.27
Business and financial operations occupations,Financial specialists..............................................................,Property appraisers and assessors.................................................,"59,070",37.10,"77,160",31.45
Business and financial operations occupations,Financial specialists..............................................................,Budget analysts...................................................................,"47,170",45.15,"93,920",42.27
Business and financial operations occupations,Financial specialists..............................................................,Credit analysts...................................................................,"67,370",47.14,"98,040",38.93
Business and financial operations occupations,Financial specialists..............................................................,Financial analysts and advisors...................................................,"775,200",61.74,"128,420",48.07
Business and financial operations occupations,Financial specialists..............................................................,Financial and investment analysts................................................,"340,580",56.01,"116,490",48.73
Business and financial operations occupations,Financial specialists..............................................................,Personal financial advisors......................................................,"270,480",77.02,"160,210",49.11
Business and financial operations occupations,Financial specialists..............................................................,Insurance underwriters...........................................................,"107,820",43.67,"90,830",38.40
Business and financial operations occupations,Financial specialists..............................................................,Financial risk specialists.......................................................,"56,320",57.66,"119,930",50.96
Business and financial operations occupations,Financial specialists..............................................................,Financial examiners...............................................................,"62,830",49.83,"103,650",43.46
Business and financial operations occupations,Financial specialists..............................................................,Credit counselors and loan officers...............................................,"318,640",40.08,"83,360",33.19
Business and financial operations occupations,Financial specialists..............................................................,Credit counselors................................................................,"28,110",26.87,"55,890",24.27
Business and financial operations occupations,Financial specialists..............................................................,Loan officers....................................................................,"290,530",41.35,"86,020",35.66
Business and financial operations occupations,Financial specialists..............................................................,"Tax examiners, collectors and preparers, and revenue agents.......................","127,100",30.06,"62,530",27.00
Business and financial operations occupations,Financial specialists..............................................................,"Tax examiners and collectors, and revenue agents.................................","53,530",32.49,"67,570",28.72
Business and financial operations occupations,Financial specialists..............................................................,Tax preparers....................................................................,"73,570",28.30,"58,860",24.31
Business and financial operations occupations,Financial specialists..............................................................,"Financial specialists, all other..................................................","127,450",45.14,"93,890",38.55
Computer and mathematical occupations,,,"5,192,890",56.16,"116,810",50.89
Computer and mathematical occupations,Computer occupations...............................................................,,"4,786,660",56.14,"116,770",50.96
Computer and mathematical occupations,Computer occupations...............................................................,Computer and information analysts.................................................,"677,230",55.83,"116,130",51.39
Computer and mathematical occupations,Computer occupations...............................................................,Computer systems analysts........................................................,"497,800",53.83,"111,960",49.90
Computer and mathematical occupations,Computer occupations...............................................................,Information security analysts....................................................,"179,430",61.41,"127,730",60.05
Computer and mathematical occupations,Computer occupations...............................................................,Computer and information research scientists......................................,"38,480",73.23,"152,310",67.74
Computer and mathematical occupations,Computer occupations...............................................................,Computer support specialists......................................................,"843,660",32.47,"67,530",29.59
Computer and mathematical occupations,Computer occupations...............................................................,Computer network support specialists.............................................,"146,450",38.27,"79,610",35.26
Computer and mathematical occupations,Computer occupations...............................................................,Computer user support specialists................................................,"697,210",31.25,"64,990",29.01
Computer and mathematical occupations,Computer occupations...............................................................,Database and network administrators and architects................................,"633,540",55.69,"115,840",51.67
Computer and mathematical occupations,Computer occupations...............................................................,Computer network architects......................................................,"177,010",65.33,"135,890",62.69
Computer and mathematical occupations,Computer occupations...............................................................,Database administrators..........................................................,"73,180",51.65,"107,440",50.30
Computer and mathematical occupations,Computer occupations...............................................................,Database architects..............................................................,"64,770",68.57,"142,620",65.37
Computer and mathematical occupations,Computer occupations...............................................................,Network and computer systems administrators......................................,"318,570",48.65,"101,190",46.54
Computer and mathematical occupations,Computer occupations...............................................................,"Software and web developers, programmers, and testers.............................","2,154,370",65.34,"135,910",62.17
Computer and mathematical occupations,Computer occupations...............................................................,Computer programmers.............................................................,"109,870",49.83,"103,640",47.44
Computer and mathematical occupations,Computer occupations...............................................................,Software developers..............................................................,"1,654,440",69.50,"144,570",63.98
Computer and mathematical occupations,Computer occupations...............................................................,Software quality assurance analysts and testers..................................,"199,800",53.01,"110,260",49.33
Computer and mathematical occupations,Computer occupations...............................................................,Web developers...................................................................,"78,860",47.50,"98,790",43.72
Computer and mathematical occupations,Computer occupations...............................................................,Web and digital interface designers..............................................,"111,400",53.58,"111,450",47.16
Computer and mathematical occupations,Computer occupations...............................................................,"Computer occupations, all other...................................................","439,380",56.11,"116,700",52.39
Computer and mathematical occupations,Mathematical science occupations...................................................,,"406,230",56.34,"117,190",50.30
Computer and mathematical occupations,Mathematical science occupations...................................................,Actuaries.........................................................................,"28,340",64.90,"134,990",60.47
Computer and mathematical occupations,Mathematical science occupations...................................................,Mathematicians....................................................................,"2,220",58.91,"122,520",58.50
Computer and mathematical occupations,Mathematical science occupations...................................................,Operations research analysts......................................................,"107,760",47.66,"99,120",43.89
Computer and mathematical occupations,Mathematical science occupations...................................................,Statisticians.....................................................................,"29,800",54.01,"112,330",49.66
Computer and mathematical occupations,Mathematical science occupations...................................................,Data scientists...................................................................,"233,440",59.90,"124,590",54.13
Computer and mathematical occupations,Mathematical science occupations...................................................,"Mathematical science occupations, all other.......................................","4,660",40.72,"84,700",34.37
Architecture and engineering occupations,,,"2,567,210",49.99,"103,980",46.79
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................",,"196,590",44.87,"93,330",39.90
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................","Architects, except naval..........................................................","130,720",48.60,"101,090",45.20
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................","Architects, except landscape and naval...........................................","111,140",49.71,"103,390",46.49
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................",Landscape architects.............................................................,"19,580",42.31,"88,000",38.30
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................","Surveyors, cartographers, and photogrammetrists...................................","65,870",37.46,"77,920",35.64
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................",Cartographers and photogrammetrists..............................................,"12,790",39.84,"82,860",37.68
Architecture and engineering occupations,"Architects, surveyors, and cartographers...........................................",Surveyors........................................................................,"53,080",36.89,"76,730",34.97
Architecture and engineering occupations,Engineers..........................................................................,,"1,746,750",56.13,"116,760",50.99
Architecture and engineering occupations,Engineers..........................................................................,Aerospace engineers...............................................................,"68,440",67.88,"141,180",64.82
Architecture and engineering occupations,Engineers..........................................................................,Agricultural engineers............................................................,"1,680",40.50,"84,240",40.69
Architecture and engineering occupations,Engineers..........................................................................,Bioengineers and biomedical engineers.............................................,"21,860",55.30,"115,020",51.42
Architecture and engineering occupations,Engineers..........................................................................,Chemical engineers................................................................,"20,330",61.75,"128,430",58.59
Architecture and engineering occupations,Engineers..........................................................................,Civil engineers...................................................................,"355,410",51.47,"107,050",47.88
Architecture and engineering occupations,Engineers..........................................................................,Computer hardware engineers.......................................................,"75,710",75.37,"156,770",74.53
Architecture and engineering occupations,Engineers..........................................................................,Electrical and electronics engineers..............................................,"282,740",60.00,"124,810",57.11
Architecture and engineering occupations,Engineers..........................................................................,Electrical engineers.............................................................,"188,790",58.16,"120,980",53.80
Architecture and engineering occupations,Engineers..........................................................................,"Electronics engineers, except computer...........................................","93,940",63.70,"132,500",61.34
Architecture and engineering occupations,Engineers..........................................................................,Environmental engineers...........................................................,"37,950",53.16,"110,570",50.08
Architecture and engineering occupations,Engineers..........................................................................,"Industrial engineers, including health and safety.................................","373,440",52.05,"108,260",48.79
Architecture and engineering occupations,Engineers..........................................................................,"Health and safety engineers, except mining safety engineers and inspectors.......","23,220",54.70,"113,770",52.72
Architecture and engineering occupations,Engineers..........................................................................,Industrial engineers.............................................................,"350,230",51.87,"107,900",48.63
Architecture and engineering occupations,Engineers..........................................................................,Marine engineers and naval architects.............................................,"8,440",56.10,"116,680",50.80
Architecture and engineering occupations,Engineers..........................................................................,Materials engineers...............................................................,"22,770",55.95,"116,380",52.07
Architecture and engineering occupations,Engineers..........................................................................,Mechanical engineers..............................................................,"286,760",52.92,"110,080",49.19
Architecture and engineering occupations,Engineers..........................................................................,"Mining and geological engineers, including mining safety engineers................","6,770",52.37,"108,940",48.57
Architecture and engineering occupations,Engineers..........................................................................,Nuclear engineers.................................................................,"14,740",64.89,"134,980",61.31
Architecture and engineering occupations,Engineers..........................................................................,Petroleum engineers...............................................................,"18,970",73.83,"153,560",67.92
Architecture and engineering occupations,Engineers..........................................................................,"Engineers, all other..............................................................","150,750",58.52,"121,720",56.61
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",,"623,870",34.39,"71,540",31.92
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Drafters..........................................................................,"185,470",34.02,"70,760",31.44
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Architectural and civil drafters.................................................,"109,550",33.11,"68,860",30.90
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Electrical and electronics drafters..............................................,"20,020",37.48,"77,960",35.44
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Mechanical drafters..............................................................,"39,900",35.59,"74,040",32.94
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................","Drafters, all other..............................................................","16,010",31.99,"66,530",29.81
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................","Engineering technologists and technicians, except drafters........................","381,680",35.63,"74,100",33.69
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Aerospace engineering and operations technologists and technicians...............,"9,060",41.50,"86,330",38.38
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Civil engineering technologists and technicians..................................,"62,130",32.91,"68,450",30.86
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Electrical and electronic engineering technologists and technicians..............,"92,710",37.78,"78,580",37.11
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Electro-mechanical and mechatronics technologists and technicians................,"14,680",36.40,"75,710",34.02
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Environmental engineering technologists and technicians..........................,"12,500",30.32,"63,070",28.31
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Industrial engineering technologists and technicians.............................,"73,410",33.55,"69,780",31.15
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Mechanical engineering technologists and technicians.............................,"37,450",34.83,"72,450",33.04
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Calibration technologists and technicians........................................,"15,320",34.18,"71,080",31.27
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................","Engineering technologists and technicians, except drafters, all other............","64,410",38.34,"79,740",37.21
Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians.........................",Surveying and mapping technicians.................................................,"56,720",27.35,"56,890",24.97
"Life, physical, and social science occupations",,,"1,446,770",43.12,"89,690",37.97
"Life, physical, and social science occupations",Life scientists....................................................................,,"374,670",49.03,"101,980",43.51
"Life, physical, and social science occupations",Life scientists....................................................................,Agricultural and food scientists..................................................,"33,440",42.59,"88,590",37.87
"Life, physical, and social science occupations",Life scientists....................................................................,Animal scientists................................................................,"2,470",50.47,"104,970",38.04
"Life, physical, and social science occupations",Life scientists....................................................................,Food scientists and technologists................................................,"14,370",44.32,"92,190",41.02
"Life, physical, and social science occupations",Life scientists....................................................................,Soil and plant scientists........................................................,"16,600",39.92,"83,040",34.33
"Life, physical, and social science occupations",Life scientists....................................................................,Biological scientists.............................................................,"130,910",48.43,"100,730",44.88
"Life, physical, and social science occupations",Life scientists....................................................................,Biochemists and biophysicists....................................................,"34,520",55.56,"115,570",49.83
"Life, physical, and social science occupations",Life scientists....................................................................,Microbiologists..................................................................,"19,760",45.77,"95,200",41.98
"Life, physical, and social science occupations",Life scientists....................................................................,Zoologists and wildlife biologists...............................................,"16,920",37.46,"77,920",35.03
"Life, physical, and social science occupations",Life scientists....................................................................,"Biological scientists, all other.................................................","59,710",48.29,"100,440",44.87
"Life, physical, and social science occupations",Life scientists....................................................................,Conservation scientists and foresters.............................................,"35,250",35.77,"74,410",33.20
"Life, physical, and social science occupations",Life scientists....................................................................,Conservation scientists..........................................................,"25,590",35.73,"74,310",32.67
"Life, physical, and social science occupations",Life scientists....................................................................,Foresters........................................................................,"9,650",35.90,"74,670",33.97
"Life, physical, and social science occupations",Life scientists....................................................................,Medical scientists................................................................,"167,760",53.57,"111,430",47.97
"Life, physical, and social science occupations",Life scientists....................................................................,Epidemiologists..................................................................,"11,460",45.27,"94,160",40.38
"Life, physical, and social science occupations",Life scientists....................................................................,"Medical scientists, except epidemiologists.......................................","156,300",54.18,"112,690",48.36
"Life, physical, and social science occupations",Life scientists....................................................................,"Life scientists, all other........................................................","7,320",49.01,"101,940",42.21
"Life, physical, and social science occupations",Physical scientists................................................................,,"259,000",50.03,"104,070",44.59
"Life, physical, and social science occupations",Physical scientists................................................................,Astronomers and physicists........................................................,"22,900",78.77,"163,850",79.95
"Life, physical, and social science occupations",Physical scientists................................................................,Astronomers......................................................................,"1,560",64.63,"134,430",63.54
"Life, physical, and social science occupations",Physical scientists................................................................,Physicists.......................................................................,"21,340",79.81,"166,000",79.95
"Life, physical, and social science occupations",Physical scientists................................................................,Atmospheric and space scientists..................................................,"8,780",49.99,"103,980",46.85
"Life, physical, and social science occupations",Physical scientists................................................................,Chemists and materials scientists.................................................,"91,580",46.80,"97,350",41.64
"Life, physical, and social science occupations",Physical scientists................................................................,Chemists.........................................................................,"83,250",46.13,"95,940",40.46
"Life, physical, and social science occupations",Physical scientists................................................................,Materials scientists.............................................................,"8,330",53.56,"111,410",50.08
"Life, physical, and social science occupations",Physical scientists................................................................,Environmental scientists and geoscientists........................................,"113,160",45.02,"93,630",39.74
"Life, physical, and social science occupations",Physical scientists................................................................,"Environmental scientists and specialists, including health.......................","84,930",42.62,"88,640",38.49
"Life, physical, and social science occupations",Physical scientists................................................................,"Geoscientists, except hydrologists and geographers...............................","22,510",53.52,"111,310",47.71
"Life, physical, and social science occupations",Physical scientists................................................................,Hydrologists.....................................................................,"5,720",47.18,"98,130",44.26
"Life, physical, and social science occupations",Physical scientists................................................................,"Physical scientists, all other....................................................","22,580",59.17,"123,070",56.71
"Life, physical, and social science occupations",Social scientists and related workers..............................................,,"279,960",48.70,"101,290",44.66
"Life, physical, and social science occupations",Social scientists and related workers..............................................,Economists........................................................................,"15,880",62.94,"130,910",55.50
"Life, physical, and social science occupations",Social scientists and related workers..............................................,Survey researchers................................................................,"7,720",35.32,"73,470",30.47
